sequence,frame_id,raw_points,removed_ground_points,nonground_points,algorithm,csf_ms,cluster_ms,total_ms,cluster_fps,total_fps,clusters
00,000071,120492,67617,52875,RG,56.828135,289.092134,345.920269,3.459105,2.890840,51
00,000072,120282,60045,60237,RG,87.695201,327.612003,415.307204,3.052391,2.407856,61
00,000073,120036,68403,51633,RG,32.719363,276.673978,309.393341,3.614362,3.232132,57
00,000074,119747,59332,60415,RG,71.564500,328.744276,400.308776,3.041878,2.498072,71
00,000075,119053,67073,51980,RG,34.415149,281.527906,315.943055,3.552046,3.165127,55
00,000076,118742,66752,51990,RG,58.012639,286.242487,344.255126,3.493541,2.904822,60
00,000077,118174,58761,59413,RG,69.967118,323.083071,393.050189,3.095179,2.544204,55
00,000078,117478,55650,61828,RG,57.689927,340.005517,397.695444,2.941129,2.514487,67
00,000079,117445,66741,50704,RG,35.351926,269.952198,305.304124,3.704360,3.275423,59
00,000080,117412,60895,56517,RG,108.904366,306.960405,415.864771,3.257749,2.404628,67
00,000081,117740,60457,57283,RG,113.563733,313.025592,426.589325,3.194627,2.344175,65
00,000082,117977,62469,55508,RG,110.945586,303.202152,414.147738,3.298130,2.414597,70
00,000083,118573,67032,51541,RG,32.863243,283.865743,316.728986,3.522792,3.157273,64
00,000084,119351,61112,58239,RG,49.353704,321.752566,371.106270,3.107978,2.694646,69
00,000085,119125,63309,55816,RG,45.984051,308.036410,354.020461,3.246369,2.824695,69
00,000086,119352,61157,58195,RG,158.011393,320.223880,478.235273,3.122815,2.091021,79
00,000087,119815,67141,52674,RG,57.376514,284.933745,342.310259,3.509588,2.921326,60
00,000088,120067,61611,58456,RG,73.614746,323.238879,396.853625,3.093687,2.519821,74
00,000089,120549,55554,64995,RG,230.543759,364.434463,594.978222,2.743978,1.680734,76
00,000090,120965,63574,57391,RG,81.084953,325.211108,406.296061,3.074926,2.461259,61
00,000091,121333,61427,59906,RG,100.260304,347.393830,447.654134,2.878577,2.233867,70
00,000092,121500,71322,50178,RG,95.273489,284.274511,379.548000,3.517727,2.634713,55
00,000093,121595,65993,55602,RG,84.268234,316.561934,400.830168,3.158940,2.494822,62
00,000094,121618,65796,55822,RG,87.355091,315.106863,402.461954,3.173527,2.484707,70
00,000095,121671,67417,54254,RG,82.694861,308.498031,391.192892,3.241512,2.556284,55
00,000096,121760,68570,53190,RG,98.556721,301.212921,399.769642,3.319911,2.501441,60
00,000097,121951,67909,54042,RG,130.092361,308.122851,438.215212,3.245459,2.281984,64
00,000098,122234,69023,53211,RG,109.444137,306.245100,415.689237,3.265358,2.405643,58
00,000099,122492,71997,50495,RG,159.535350,284.984311,444.519661,3.508965,2.249619,46
01,000000,122829,102327,20502,RG,139.145853,118.543109,257.688962,8.435750,3.880647,8
01,000001,122766,102606,20160,RG,115.833083,116.311614,232.144697,8.597594,4.307658,7
01,000002,122724,103733,18991,RG,104.436310,109.046310,213.482620,9.170416,4.684222,11
01,000003,122780,104347,18433,RG,140.058700,105.632507,245.691207,9.466783,4.070150,10
01,000004,122755,104762,17993,RG,121.127705,104.642036,225.769741,9.556389,4.429292,10
01,000005,122901,105237,17664,RG,125.649488,101.174244,226.823732,9.883938,4.408710,8
01,000006,122768,105445,17323,RG,117.117720,98.413799,215.531519,10.161177,4.639693,9
01,000007,122826,105845,16981,RG,123.324996,93.699357,217.024353,10.672432,4.607778,9
01,000008,122447,105657,16790,RG,120.705035,88.046692,208.751727,11.357610,4.790380,8
01,000009,122330,106200,16130,RG,113.286044,82.734656,196.020700,12.086833,5.101502,8
01,000010,122208,106530,15678,RG,108.229489,81.621963,189.851452,12.251604,5.267276,8
01,000011,122044,106816,15228,RG,126.002537,79.472189,205.474726,12.583018,4.866779,5
01,000012,122164,106795,15369,RG,137.318150,80.237380,217.555530,12.463019,4.596528,5
01,000013,122179,107437,14742,RG,125.106039,77.388522,202.494561,12.921813,4.938404,6
01,000014,122104,107510,14594,RG,107.692413,75.881546,183.573959,13.178435,5.447396,5
01,000015,122230,107796,14434,RG,104.979793,75.923370,180.903163,13.171175,5.527819,5
01,000016,122258,108176,14082,RG,124.939243,72.626554,197.565797,13.769069,5.061605,4
01,000017,122223,107264,14959,RG,103.850305,77.094903,180.945208,12.971026,5.526535,6
01,000018,122460,108097,14363,RG,122.200114,75.424192,197.624306,13.258346,5.060106,7
01,000019,122383,107701,14682,RG,107.288973,78.575643,185.864616,12.726590,5.380260,8
01,000020,122380,107735,14645,RG,104.977509,80.227374,185.204883,12.464574,5.399426,5
01,000021,122353,107518,14835,RG,117.396954,80.743780,198.140734,12.384855,5.046918,5
01,000022,122449,107888,14561,RG,130.448516,78.206686,208.655202,12.786631,4.792596,4
01,000023,122574,107684,14890,RG,127.312197,80.141262,207.453459,12.477967,4.820358,6
01,000024,122729,107862,14867,RG,153.454454,82.287033,235.741487,12.152583,4.241935,5
01,000025,122850,108092,14758,RG,128.251754,84.034932,212.286686,11.899813,4.710611,6
01,000026,122807,106328,16479,RG,152.509196,89.836150,242.345346,11.131376,4.126343,8
01,000027,122986,106317,16669,RG,126.457808,91.823466,218.281274,10.890462,4.581245,10
01,000028,123035,105984,17051,RG,95.253336,96.255124,191.508460,10.389057,5.221701,9
01,000029,122930,105525,17405,RG,95.261030,98.024060,193.285090,10.201577,5.173705,12
01,000030,122859,105545,17314,RG,118.407185,95.748362,214.155547,10.444043,4.669503,15
01,000031,123000,105595,17405,RG,131.978749,100.194629,232.173378,9.980575,4.307126,7
01,000032,123166,106131,17035,RG,156.256339,93.953175,250.209514,10.643600,3.996651,12
01,000033,123170,105791,17379,RG,151.372965,97.217340,248.590305,10.286231,4.022683,11
01,000034,123128,103735,19393,RG,140.348720,109.453224,249.801944,9.136323,4.003171,13
01,000035,123037,107937,15100,RG,115.415257,82.769033,198.184290,12.081813,5.045809,3
01,000036,123005,104369,18636,RG,87.577137,103.693425,191.270562,9.643813,5.228196,10
01,000037,123045,103678,19367,RG,95.824293,108.207226,204.031519,9.241527,4.901204,9
01,000038,122948,106858,16090,RG,99.239606,90.782169,190.021775,11.015379,5.262555,4
01,000039,122833,104234,18599,RG,156.272250,115.335858,271.608108,8.670330,3.681775,10
01,000040,122512,106211,16301,RG,146.115631,95.913169,242.028800,10.426097,4.131740,5
01,000041,122216,101564,20652,RG,100.269948,122.206258,222.476206,8.182887,4.494863,9
01,000042,122000,104243,17757,RG,141.234258,102.900949,244.135207,9.718083,4.096091,3
01,000043,121735,103983,17752,RG,119.574368,105.727153,225.301521,9.458308,4.438496,3
01,000044,121540,102599,18941,RG,111.090324,109.457582,220.547906,9.135959,4.534162,9
01,000045,121415,103393,18022,RG,110.631252,104.116358,214.747610,9.604639,4.656629,3
01,000046,121284,103149,18135,RG,91.088580,106.859300,197.947880,9.358100,5.051835,5
01,000047,121071,101924,19147,RG,75.804886,111.972335,187.777221,8.930777,5.325460,6
01,000048,120884,102097,18787,RG,88.293577,112.232123,200.525700,8.910105,4.986892,7
01,000049,120756,100763,19993,RG,98.667319,120.237716,218.905035,8.316858,4.568191,7
01,000050,120711,98758,21953,RG,88.900828,132.715201,221.616029,7.534932,4.512309,9
01,000051,120714,99678,21036,RG,91.122872,122.333171,213.456043,8.174398,4.684805,5
01,000052,120576,99336,21240,RG,154.644614,127.632626,282.277240,7.834987,3.542616,3
01,000053,120631,95778,24853,RG,149.155221,144.801926,293.957147,6.905985,3.401856,9
01,000054,120545,97425,23120,RG,89.319310,141.042908,230.362218,7.090041,4.340990,6
01,000055,120665,98774,21891,RG,103.212304,134.425436,237.637740,7.439068,4.208086,4
01,000056,120861,97661,23200,RG,81.849249,147.230463,229.079712,6.792073,4.365293,5
01,000057,120986,92343,28643,RG,88.493735,180.231893,268.725628,5.548408,3.721268,8
01,000058,121152,95346,25806,RG,82.234774,165.520564,247.755338,6.041545,4.036240,5
01,000059,121471,93922,27549,RG,87.348967,173.423200,260.772167,5.766241,3.834765,3
01,000060,121622,91752,29870,RG,77.131704,196.689047,273.820751,5.084167,3.652024,3
01,000061,121778,91156,30622,RG,76.349453,196.838952,273.188405,5.080295,3.660477,9
01,000062,122012,86455,35557,RG,93.698064,230.007131,323.705195,4.347691,3.089231,8
01,000063,122145,89447,32698,RG,84.599452,213.857669,298.457121,4.676007,3.350565,3
01,000064,122333,90062,32271,RG,80.325726,213.177628,293.503354,4.690924,3.407116,4
01,000065,122400,86439,35961,RG,82.548094,237.321907,319.870001,4.213686,3.126270,8
01,000066,122552,87604,34948,RG,78.724492,238.388133,317.112625,4.194840,3.153454,6
01,000067,122546,85634,36912,RG,202.015345,242.546892,444.562237,4.122914,2.249404,6
01,000068,122525,85990,36535,RG,211.261580,244.868932,456.130512,4.083817,2.192355,5
01,000069,122522,84552,37970,RG,153.319239,248.546116,401.865355,4.023398,2.488396,10
01,000070,122676,83614,39062,RG,237.765842,259.313947,497.079789,3.856329,2.011749,10
01,000071,122836,84153,38683,RG,210.179341,256.818642,466.997983,3.893798,2.141337,8
01,000072,122817,83873,38944,RG,192.001688,260.308946,452.310634,3.841589,2.210870,9
01,000073,122909,83466,39443,RG,200.935081,259.387250,460.322331,3.855240,2.172391,6
01,000074,122978,82343,40635,RG,118.440440,267.662145,386.102585,3.736053,2.589985,12
01,000075,123141,83320,39821,RG,149.397365,260.685841,410.083206,3.836035,2.438530,6
01,000076,123281,85594,37687,RG,165.708172,250.529351,416.237523,3.991548,2.402474,3
01,000077,123542,84057,39485,RG,104.610986,257.083529,361.694515,3.889786,2.764764,10
01,000078,123739,87707,36032,RG,67.923470,236.275163,304.198633,4.232353,3.287326,4
01,000079,123820,86645,37175,RG,105.362338,232.453370,337.815708,4.301938,2.960194,5
01,000080,124060,86614,37446,RG,122.270482,234.907355,357.177837,4.256997,2.799726,4
01,000081,124019,86709,37310,RG,71.716861,234.237544,305.954405,4.269170,3.268461,9
01,000082,124166,89721,34445,RG,61.779961,222.638329,284.418290,4.491590,3.515948,6
01,000083,124253,87589,36664,RG,69.910203,232.913083,302.823286,4.293447,3.302256,2
01,000084,124370,87669,36701,RG,82.229618,240.177335,322.406953,4.163590,3.101670,5
01,000085,124461,89709,34752,RG,62.234938,223.474971,285.709909,4.474774,3.500054,5
01,000086,124582,89812,34770,RG,68.486663,224.579243,293.065906,4.452771,3.412202,4
01,000087,124702,89794,34908,RG,72.152857,223.104305,295.257162,4.482208,3.386878,6
01,000088,124755,89116,35639,RG,98.450150,226.132687,324.582837,4.422182,3.080878,4
01,000089,124837,89051,35786,RG,93.297107,226.670011,319.967118,4.411700,3.125321,6
01,000090,124389,90178,34211,RG,88.173885,220.297301,308.471186,4.539320,3.241794,4
01,000091,124828,89679,35149,RG,64.117398,225.145724,289.263122,4.441568,3.457060,7
01,000092,124798,87702,37096,RG,78.263803,241.035940,319.299743,4.148759,3.131853,10
01,000093,124846,85990,38856,RG,74.501742,251.804704,326.306446,3.971332,3.064604,8
01,000094,124834,85865,38969,RG,80.648491,250.688226,331.336717,3.989019,3.018078,10
01,000095,124816,86621,38195,RG,75.514371,246.696510,322.210881,4.053564,3.103558,7
01,000096,124870,86343,38527,RG,84.714143,249.071196,333.785339,4.014916,2.995937,13
01,000097,124858,88837,36021,RG,93.408875,234.651370,328.060245,4.261641,3.048221,15
01,000098,124889,87215,37674,RG,85.182192,243.251503,328.433695,4.110972,3.044755,16
01,000099,124855,84060,40795,RG,73.739507,258.901556,332.641063,3.862472,3.006243,21
02,000000,124649,96585,28064,RG,84.357378,157.149114,241.506492,6.363383,4.140675,11
02,000001,124531,87670,36861,RG,291.349829,216.924594,508.274423,4.609897,1.967441,18
02,000002,124411,87566,36845,RG,230.257958,216.101957,446.359915,4.627445,2.240345,11
02,000003,124253,89225,35028,RG,225.603041,206.214683,431.817724,4.849315,2.315792,14
02,000004,124173,88593,35580,RG,220.903775,209.980505,430.884280,4.762347,2.320809,11
02,000005,124116,89651,34465,RG,273.322494,213.618795,486.941289,4.681236,2.053636,14
02,000006,123967,93025,30942,RG,262.250661,189.812845,452.063506,5.268347,2.212079,11
02,000007,123889,94442,29447,RG,238.767864,177.445705,416.213569,5.635527,2.402613,10
