group,count,avg_total_ms_0,avg_total_ms_50,avg_delta_total_ms_50_minus_0,avg_search_ms_0,avg_search_ms_50,avg_delta_search_ms_50_minus_0,avg_search_calls_0,avg_search_calls_50,avg_delta_search_calls_50_minus_0
single-frame,11,17.424874,18.295873,0.870999,0.000846,0.000883,0.000037,14106.843636,14502.065000,395.221364
fusion,7,441.605290,416.337223,-25.268067,0.001345,0.001305,-0.000039,158947.571429,158947.428571,-0.142857
