分组,样本数,max_n=0平均总耗时ms,max_n=50平均总耗时ms,平均总耗时差值(50减0)ms,max_n=0平均树搜索时间ms,max_n=50平均树搜索时间ms,平均树搜索时间差值(50减0)ms,max_n=0平均树搜索函数调用次数,max_n=50平均树搜索函数调用次数,平均树搜索函数调用次数差值(50减0)
single-frame,11,17.424874,18.295873,0.870999,0.000846,0.000883,0.000037,14106.843636,14502.065000,395.221364
fusion,7,441.605290,416.337223,-25.268067,0.001345,0.001305,-0.000039,158947.571429,158947.428571,-0.142857
