sample,mode,sequence,frame_id,target_points,points,max_n,min_cluster_size,tolerance,total_ms,build_ms,search_ms,merge_ms,final_ms,search_calls,avg_search_ms,total_neighbors_returned,avg_neighbors_returned,max_neighbors_returned,saturation_count,saturation_rate,neighbor_scan_pass1,neighbor_scan_pass2,relabel_trigger_count,relabel_point_visits,clusters,clustered_points
single_frame_seq09_000040,single-frame,09,000040,0,76837,0,100,0.200000,41.771476,5.818879,15.511002,16.987871,2.509048,16896,0.000918,149736,8.862216,146,0,0.000000,149736,149736,978,75146586,39,55189
single_frame_seq09_000040,single-frame,09,000040,0,76837,50,100,0.200000,40.125479,5.258130,15.974178,15.735937,2.246678,17073,0.000936,149186,8.738125,50,624,0.036549,149186,149186,977,75069749,39,55213
single_frame_seq09_000050,single-frame,09,000050,0,83126,0,100,0.200000,46.256793,6.168431,16.696589,19.840579,2.463778,19395,0.000861,154272,7.954215,114,0,0.000000,154272,154272,1111,92352986,37,58755
single_frame_seq09_000050,single-frame,09,000050,0,83126,50,100,0.200000,45.701695,5.751504,16.366526,20.068600,2.509048,19446,0.000842,154142,7.926669,50,255,0.013113,154142,154142,1116,92768616,37,58761
single_frame_seq09_000060,single-frame,09,000060,0,83498,0,100,0.200000,50.361570,7.150453,17.483965,22.067024,2.380240,19533,0.000895,157312,8.053653,123,0,0.000000,157312,157312,1165,97275170,31,59063
single_frame_seq09_000060,single-frame,09,000060,0,83498,50,100,0.200000,45.882496,5.885232,16.576699,20.119825,2.283736,19609,0.000845,157033,8.008211,50,361,0.018410,157033,157033,1162,97024676,31,59063
single_frame_seq09_000070,single-frame,09,000070,0,81575,0,100,0.200000,46.079675,6.063392,16.637140,19.864125,2.453032,18941,0.000878,155197,8.193707,172,0,0.000000,155197,155197,1146,93484950,47,58569
single_frame_seq09_000070,single-frame,09,000070,0,81575,50,100,0.200000,44.675035,5.606679,16.094485,19.652899,2.354083,18999,0.000847,154906,8.153376,50,331,0.017422,154906,154906,1146,93484950,47,58605
single_frame_seq09_000080,single-frame,09,000080,0,75884,0,100,0.200000,41.789099,5.585997,15.318369,17.599547,2.300570,18253,0.000839,141340,7.743385,106,0,0.000000,141340,141340,1116,84686544,29,52795
single_frame_seq09_000080,single-frame,09,000080,0,75884,50,100,0.200000,42.324966,5.104323,15.412630,18.646916,2.210233,18320,0.000841,141673,7.733242,50,312,0.017031,141673,141673,1118,84838312,29,52795
single_frame_seq09_000090,single-frame,09,000090,0,67577,0,100,0.200000,38.788928,5.170716,14.007568,16.466546,2.139252,18559,0.000755,119788,6.454443,84,0,0.000000,119788,119788,1181,79808437,39,43434
single_frame_seq09_000090,single-frame,09,000090,0,67577,50,100,0.200000,38.835105,4.656835,14.231875,16.803543,2.188937,18591,0.000766,120281,6.469851,50,127,0.006831,120281,120281,1178,79605706,39,43421
