sequence,valid_frames,skipped_frames,algorithm,max_n,repeats,trim_each_side,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4541,0,FEC,0,7,1,25.862646,38.665803,74825.869192,46560,101175
01,1101,0,FEC,0,7,1,20.867662,47.921037,45470.705722,19488,74727
02,4661,0,FEC,0,7,1,24.739072,40.421888,67931.682901,17507,90284
03,801,0,FEC,0,7,1,27.028442,36.998063,67657.277154,47824,96995
04,271,0,FEC,0,7,1,27.106937,36.890926,61251.682657,34198,78967
05,2761,0,FEC,0,7,1,27.243461,36.706056,74478.356393,41848,103854
06,1101,0,FEC,0,7,1,16.827288,59.427283,46722.097184,32963,69836
07,1101,0,FEC,0,7,1,24.560961,40.715020,73681.151680,49909,94831
08,4071,0,FEC,0,7,1,26.280045,38.051686,68857.490543,34599,108824
09,1591,0,FEC,0,7,1,26.765442,37.361609,66155.913262,27881,91135
10,1201,0,FEC,0,7,1,27.816324,35.950114,80110.542881,30951,114154
