sequence,valid_frames,skipped_frames,algorithm,max_n,repeats,trim_each_side,avg_ms,avg_fps,avg_nonground_points,min_nonground_points,max_nonground_points
00,4541,0,FECunion,50,7,1,20.531309,48.706100,74825.869192,46560,101175
01,1101,0,FECunion,50,7,1,13.393356,74.663887,45470.705722,19488,74727
02,4661,0,FECunion,50,7,1,18.962564,52.735485,67931.682901,17507,90284
03,801,0,FECunion,50,7,1,18.653570,53.609042,67657.277154,47824,96995
04,271,0,FECunion,50,7,1,17.435254,57.355059,61251.682657,34198,78967
05,2761,0,FECunion,50,7,1,20.566364,48.623083,74478.356393,41848,103854
06,1101,0,FECunion,50,7,1,13.478658,74.191362,46722.097184,32963,69836
07,1101,0,FECunion,50,7,1,19.842493,50.396893,73681.151680,49909,94831
08,4071,0,FECunion,50,7,1,19.365768,51.637507,68857.490543,34599,108824
09,1591,0,FECunion,50,7,1,18.308151,54.620480,66155.913262,27881,91135
10,1201,0,FECunion,50,7,1,22.580911,44.285192,80110.542881,30951,114154
