target_points,algorithm,best_ms,mean_ms,fps_best,clusters
2650000,FEC,11484.306757,11560.223280,0.087075,510
2700000,FECunion,1512.710849,1519.524846,0.661065,508
2700000,FEC,11505.701063,11676.038894,0.086913,508
2750000,FECunion,1503.722699,1521.995324,0.665016,511
2750000,FEC,12152.795066,12290.019716,0.082286,511
2800000,FECunion,1548.751694,1561.440510,0.645681,507
2800000,FEC,12164.308454,12294.352395,0.082208,507
2850000,FECunion,1590.167687,1630.114525,0.628864,504
2850000,FEC,12653.736864,12864.718806,0.079028,504
2900000,FECunion,1605.962952,1617.627625,0.622679,501
2900000,FEC,13029.680256,13292.550474,0.076748,501
2950000,FECunion,1684.713606,1700.919023,0.593573,502
2950000,FEC,13710.733773,13963.146300,0.072936,502
3000000,FECunion,1678.826270,1685.941034,0.595654,507
3000000,FEC,13947.798279,14216.295735,0.071696,507
