sequence,target_points,loaded_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,algorithm,best_ms,mean_ms,fps_best,clusters,ply_path
00,2850000,2850000,592,305293,1384234,1160473,183.528000,13.792000,344.179000,FECunion,1066.415097,1066.415097,0.937721,729,reports/semantic_kitti_seq00_static/seq00_static_2850k.ply
00,2900000,2900000,604,315802,1396122,1188076,184.550000,13.792000,350.919000,FECunion,1078.688169,1078.688169,0.927052,738,reports/semantic_kitti_seq00_static/seq00_static_2900k.ply
00,2950000,2950000,619,327179,1408957,1213864,184.550000,13.792000,363.081000,FECunion,1099.875438,1099.875438,0.909194,742,reports/semantic_kitti_seq00_static/seq00_static_2950k.ply
00,3000000,3000000,627,333711,1429499,1236790,186.236000,13.792000,370.594000,FECunion,1118.163001,1118.163001,0.894324,761,reports/semantic_kitti_seq00_static/seq00_static_3M.ply
00,3050000,3050000,636,342122,1450026,1257852,186.928000,13.792000,378.450000,FECunion,1144.401007,1144.401007,0.873820,769,reports/semantic_kitti_seq00_static/seq00_static_3050k.ply
00,3100000,3100000,648,358364,1457499,1284137,186.928000,13.792000,392.512000,FECunion,1168.508199,1168.508199,0.855792,768,reports/semantic_kitti_seq00_static/seq00_static_3100k.ply
00,3150000,3150000,661,371645,1463949,1314406,186.928000,13.792000,405.662000,FECunion,1175.090063,1175.090063,0.850999,778,reports/semantic_kitti_seq00_static/seq00_static_3150k.ply
00,3200000,3200000,676,387175,1472044,1340781,186.928000,13.792000,417.522000,FECunion,1185.668244,1185.668244,0.843406,796,reports/semantic_kitti_seq00_static/seq00_static_3200k.ply
00,3250000,3250000,689,402514,1482132,1365354,186.928000,13.792000,434.264000,FECunion,1189.092451,1189.092451,0.840978,803,reports/semantic_kitti_seq00_static/seq00_static_3250k.ply
00,3300000,3300000,699,412406,1498094,1389500,191.481000,13.792000,444.293000,FECunion,1287.779851,1287.779851,0.776530,809,reports/semantic_kitti_seq00_static/seq00_static_3300k.ply
00,3350000,3350000,709,418782,1512860,1418358,191.606000,13.792000,453.134000,FECunion,1215.753717,1215.753717,0.822535,820,reports/semantic_kitti_seq00_static/seq00_static_3350k.ply
00,3400000,3400000,722,426698,1528887,1444415,191.606000,13.792000,462.739000,FECunion,1251.239404,1251.239404,0.799208,840,reports/semantic_kitti_seq00_static/seq00_static_3400k.ply
00,3450000,3450000,736,435862,1548358,1465780,193.768000,13.792000,468.139000,FECunion,1270.853228,1270.853228,0.786873,879,reports/semantic_kitti_seq00_static/seq00_static_3450k.ply
00,3500000,3500000,746,441208,1564538,1494254,196.734000,13.792000,470.908000,FECunion,1275.856193,1275.856193,0.783787,880,reports/semantic_kitti_seq00_static/seq00_static_3500k.ply
00,3550000,3550000,758,446921,1580561,1522518,203.795000,13.792000,471.961000,FECunion,1300.592841,1300.592841,0.768880,886,reports/semantic_kitti_seq00_static/seq00_static_3550k.ply
00,3600000,3600000,775,452849,1595967,1551184,214.723000,13.792000,471.961000,FECunion,1366.673016,1366.673016,0.731704,892,reports/semantic_kitti_seq00_static/seq00_static_3600k.ply
00,3650000,3650000,788,457638,1613324,1579038,224.386000,13.792000,471.961000,FECunion,1323.186290,1323.186290,0.755751,900,reports/semantic_kitti_seq00_static/seq00_static_3650k.ply
00,3700000,3700000,799,462021,1635919,1602060,237.738000,13.792000,471.961000,FECunion,1382.096200,1382.096200,0.723539,903,reports/semantic_kitti_seq00_static/seq00_static_3700k.ply
00,3750000,3750000,807,465383,1663509,1621108,244.348000,13.792000,471.961000,FECunion,1359.712046,1359.712046,0.735450,924,reports/semantic_kitti_seq00_static/seq00_static_3750k.ply
00,3800000,3800000,813,467211,1695904,1636885,249.559000,13.792000,471.961000,FECunion,1357.854236,1357.854236,0.736456,943,reports/semantic_kitti_seq00_static/seq00_static_3800k.ply
00,3850000,3850000,820,468473,1729521,1652006,255.268000,13.792000,471.961000,FECunion,1431.808420,1431.808420,0.698417,945,reports/semantic_kitti_seq00_static/seq00_static_3850k.ply
00,3900000,3900000,829,469635,1761690,1668675,263.153000,13.792000,471.961000,FECunion,1429.826446,1429.826446,0.699386,958,reports/semantic_kitti_seq00_static/seq00_static_3900k.ply
00,3950000,3950000,842,475461,1785493,1689046,270.968000,13.792000,471.961000,FECunion,1502.509550,1502.509550,0.665553,967,reports/semantic_kitti_seq00_static/seq00_static_3950k.ply
00,4000000,4000000,853,482965,1805107,1711928,277.840000,13.792000,471.961000,FECunion,1469.243037,1469.243037,0.680623,1002,reports/semantic_kitti_seq00_static/seq00_static_4M.ply
00,4050000,4050000,862,488922,1825138,1735940,283.398000,13.792000,471.961000,FECunion,1552.726071,1552.726071,0.644029,1022,reports/semantic_kitti_seq00_static/seq00_static_4050k.ply
00,4100000,4100000,872,495320,1843073,1761607,292.027000,13.792000,471.961000,FECunion,1506.843394,1506.843394,0.663639,1022,reports/semantic_kitti_seq00_static/seq00_static_4100k.ply
00,4150000,4150000,883,498671,1861922,1789407,303.678000,13.792000,471.961000,FECunion,1608.401285,1608.401285,0.621735,1042,reports/semantic_kitti_seq00_static/seq00_static_4150k.ply
00,4200000,4200000,891,500828,1884772,1814400,311.200000,13.792000,471.961000,FECunion,1556.012047,1556.012047,0.642669,1037,reports/semantic_kitti_seq00_static/seq00_static_4200k.ply
00,4250000,4250000,899,503004,1912950,1834046,318.470000,13.792000,471.961000,FECunion,1551.822966,1551.822966,0.644403,1060,reports/semantic_kitti_seq00_static/seq00_static_4250k.ply
00,4300000,4300000,905,506030,1938503,1855467,324.048000,13.792000,471.961000,FECunion,1627.362585,1627.362585,0.614491,1070,reports/semantic_kitti_seq00_static/seq00_static_4300k.ply
00,4350000,4350000,911,508994,1964943,1876063,330.038000,13.792000,471.961000,FECunion,1589.290236,1589.290236,0.629212,1079,reports/semantic_kitti_seq00_static/seq00_static_4350k.ply
00,4400000,4400000,919,512430,1993346,1894224,337.310000,13.792000,471.961000,FECunion,1674.253600,1674.253600,0.597281,1086,reports/semantic_kitti_seq00_static/seq00_static_4400k.ply
00,4450000,4450000,927,515640,2026018,1908342,339.372000,13.792000,471.961000,FECunion,1641.475626,1641.475626,0.609208,1099,reports/semantic_kitti_seq00_static/seq00_static_4450k.ply
00,4500000,4500000,937,518041,2060740,1921219,349.591000,13.792000,471.961000,FECunion,1762.541778,1762.541778,0.567362,1110,reports/semantic_kitti_seq00_static/seq00_static_4500k.ply
00,4550000,4550000,945,522197,2091538,1936265,354.666000,13.792000,471.961000,FECunion,1712.148250,1712.148250,0.584062,1117,reports/semantic_kitti_seq00_static/seq00_static_4550k.ply
00,4600000,4600000,953,525972,2122003,1952025,357.377000,13.792000,471.961000,FECunion,1781.547149,1781.547149,0.561310,1138,reports/semantic_kitti_seq00_static/seq00_static_4600k.ply
00,4650000,4650000,962,530201,2150790,1969009,358.222000,13.792000,471.961000,FECunion,1814.010037,1814.010037,0.551265,1144,reports/semantic_kitti_seq00_static/seq00_static_4650k.ply
00,4700000,4700000,972,534364,2181082,1984554,358.222000,13.792000,471.961000,FECunion,1806.730802,1806.730802,0.553486,1137,reports/semantic_kitti_seq00_static/seq00_static_4700k.ply
00,4750000,4750000,983,536936,2216366,1996698,358.222000,14.962000,471.961000,FECunion,1838.537901,1838.537901,0.543910,1143,reports/semantic_kitti_seq00_static/seq00_static_4750k.ply
00,4800000,4800000,992,539008,2250775,2010217,358.222000,14.962000,471.961000,FECunion,1844.977365,1844.977365,0.542012,1168,reports/semantic_kitti_seq00_static/seq00_static_4800k.ply
00,4850000,4850000,1000,542269,2277938,2029793,358.222000,14.962000,471.961000,FECunion,1877.562496,1877.562496,0.532605,1172,reports/semantic_kitti_seq00_static/seq00_static_4850k.ply
00,4900000,4900000,1008,545258,2307088,2047654,358.222000,14.962000,471.961000,FECunion,1910.918423,1910.918423,0.523309,1169,reports/semantic_kitti_seq00_static/seq00_static_4900k.ply
00,4950000,4950000,1015,548865,2332094,2069041,358.222000,14.962000,471.961000,FECunion,1820.363272,1820.363272,0.549341,1184,reports/semantic_kitti_seq00_static/seq00_static_4950k.ply
00,5000000,5000000,1023,552253,2359605,2088142,358.222000,15.616000,471.961000,FECunion,1923.958259,1923.958259,0.519762,1199,reports/semantic_kitti_seq00_static/seq00_static_5M.ply
