sample,mode,sequence,frame_id,target_points,points,max_n,min_cluster_size,tolerance,total_ms,build_ms,search_ms,merge_ms,final_ms,search_calls,avg_search_ms,total_neighbors_returned,avg_neighbors_returned,max_neighbors_returned,saturation_count,saturation_rate,neighbor_scan_pass1,neighbor_scan_pass2,relabel_trigger_count,relabel_point_visits,clusters,clustered_points
fusion_seq00_500000,fusion,00,,500000,500000,0,100,0.200000,818.310410,65.128450,114.591639,615.613901,17.514247,70918,0.001616,946374,13.344623,57,0,0.000000,946374,946374,5823,2911500000,181,458085
fusion_seq00_500000,fusion,00,,500000,500000,50,100,0.200000,796.125660,45.377321,109.385333,622.550850,14.634573,70918,0.001542,946341,13.344158,50,13,0.000183,946341,946341,5823,2911500000,181,458085
