sample,mode,sequence,frame_id,target_points,points,max_n,min_cluster_size,tolerance,total_ms,build_ms,search_ms,merge_ms,final_ms,search_calls,avg_search_ms,total_neighbors_returned,avg_neighbors_returned,max_neighbors_returned,saturation_count,saturation_rate,neighbor_scan_pass1,neighbor_scan_pass2,relabel_trigger_count,relabel_point_visits,clusters,clustered_points
single_frame_seq00_000000,single-frame,00,000000,0,56795,0,100,0.200000,25.245129,7.012187,10.928227,5.065927,1.518479,13063,0.000837,113858,8.716068,126,0,0.000000,113858,113858,365,20730175,42,43129
single_frame_seq00_000000,single-frame,00,000000,0,56795,50,100,0.200000,20.441395,3.393866,10.393196,4.562962,1.427177,13183,0.000788,113291,8.593719,50,501,0.038003,113291,113291,365,20730175,42,43126
