file,target_points,algorithm,max_n,points,run_id,total_ms,build_ms,search_ms,merge_ms,final_ms,clusters
seq00_static_100k.ply,100000,FECunion,0,100000,3,30.238268,8.161812,18.735748,1.005656,0.469047,78
seq00_static_100k.ply,100000,FECunion,0,100000,4,30.788495,8.133520,19.276333,1.045950,0.503477,78
seq00_static_100k.ply,100000,FECunion,0,100000,5,29.383459,8.053641,18.196455,1.005116,0.470186,78
seq00_static_100k.ply,100000,FECunion,0,100000,6,30.443654,8.144322,18.987266,1.044620,0.463533,78
seq00_static_100k.ply,100000,FECunion,0,100000,7,29.450922,7.978331,18.285997,0.993027,0.460813,78
seq00_static_100k.ply,100000,FEC,50,100000,1,65.273085,8.011139,18.662150,34.349175,3.180633,78
seq00_static_100k.ply,100000,FEC,50,100000,2,65.629319,7.999078,18.687825,34.676849,3.179516,78
seq00_static_100k.ply,100000,FEC,50,100000,3,65.597263,8.080912,18.688671,34.535630,3.196488,78
seq00_static_100k.ply,100000,FEC,50,100000,4,70.927367,8.890703,18.794290,38.899591,3.210549,78
seq00_static_100k.ply,100000,FEC,50,100000,5,68.255694,8.305908,18.904844,36.684374,3.287632,78
seq00_static_100k.ply,100000,FEC,50,100000,6,69.297497,8.089458,19.026182,37.880951,3.201013,78
seq00_static_100k.ply,100000,FEC,50,100000,7,69.736855,8.019233,19.544894,37.854457,3.154072,78
seq00_static_100k.ply,100000,FEC1,50,100000,1,33.734007,8.049568,18.927939,1.928579,3.303250,78
seq00_static_100k.ply,100000,FEC1,50,100000,2,33.021992,8.570071,18.072450,1.893383,2.982232,78
seq00_static_100k.ply,100000,FEC1,50,100000,3,35.005385,8.731452,19.507011,2.055972,3.093477,78
seq00_static_100k.ply,100000,FEC1,50,100000,4,33.103186,8.300210,18.364189,1.953686,2.764034,78
seq00_static_100k.ply,100000,FEC1,50,100000,5,31.187400,7.685213,17.373312,1.757870,2.895113,78
seq00_static_100k.ply,100000,FEC1,50,100000,6,30.676750,7.472689,17.086621,1.736488,2.931102,78
seq00_static_100k.ply,100000,FEC1,50,100000,7,32.334186,8.260009,17.972603,1.821740,2.760694,78
seq00_static_100k.ply,100000,FECunion,50,100000,1,26.708100,7.440639,16.374985,0.933345,0.415278,78
seq00_static_100k.ply,100000,FECunion,50,100000,2,27.898309,7.973550,16.945144,0.953025,0.421770,78
seq00_static_100k.ply,100000,FECunion,50,100000,3,27.347984,8.181825,16.269840,0.925399,0.415709,78
seq00_static_100k.ply,100000,FECunion,50,100000,4,26.721375,7.469403,16.329137,0.929544,0.422222,78
seq00_static_100k.ply,100000,FECunion,50,100000,5,26.693102,7.478290,16.299135,0.931887,0.420298,78
seq00_static_100k.ply,100000,FECunion,50,100000,6,26.833327,7.515240,16.399644,0.945262,0.415639,78
seq00_static_100k.ply,100000,FECunion,50,100000,7,26.706466,7.450277,16.304322,0.952744,0.424806,78
seq00_static_150k.ply,150000,FEC,0,150000,1,116.614527,13.324208,29.404248,67.716734,4.686893,88
seq00_static_150k.ply,150000,FEC,0,150000,2,115.273888,12.542160,28.241622,68.493314,4.476875,88
seq00_static_150k.ply,150000,FEC,0,150000,3,114.637041,12.612203,28.180594,67.334689,5.011560,88
seq00_static_150k.ply,150000,FEC,0,150000,4,117.699261,12.523394,28.510721,70.569217,4.609476,88
seq00_static_150k.ply,150000,FEC,0,150000,5,115.027431,12.336650,28.828241,67.797316,4.531969,88
seq00_static_150k.ply,150000,FEC,0,150000,6,114.288248,12.536408,27.708593,67.680561,4.884288,88
