file,target_points,algorithm,max_n,points,kept_runs,clusters_median,total_mean_ms,total_std_ms,total_min_ms,total_max_ms,build_mean_ms,build_std_ms,build_min_ms,build_max_ms,search_mean_ms,search_std_ms,search_min_ms,search_max_ms,merge_mean_ms,merge_std_ms,merge_min_ms,merge_max_ms,final_mean_ms,final_std_ms,final_min_ms,final_max_ms
seq00_static_200k.ply,200000,FECunion,50,200000,5,112,59.454758,0.751360,58.586788,60.427461,17.851852,0.301454,17.585914,18.357445,35.122338,0.663881,34.470653,36.191996,1.972908,0.037560,1.908264,2.002874,0.987261,0.029630,0.966875,1.039579
seq00_static_250k.ply,250000,FEC,0,250000,5,133,277.567228,3.446456,274.244401,282.822742,23.676631,0.582385,23.029392,24.253505,53.370937,2.664971,51.369864,57.640692,189.132963,2.365048,185.606167,191.826084,8.751197,0.774037,7.783297,9.871808
seq00_static_250k.ply,250000,FEC1,0,250000,5,133,80.849468,0.730685,80.022028,81.777199,21.833127,0.953723,21.095285,23.125006,44.201234,0.258916,43.934052,44.585767,4.025976,0.023044,3.997439,4.059378,7.083007,0.393236,6.876196,7.785232
seq00_static_250k.ply,250000,FECunion,0,250000,5,133,76.577379,1.659562,73.948947,78.176838,22.413642,0.885576,21.884021,23.956083,45.690927,1.190389,43.887558,46.773690,2.332375,0.057166,2.245999,2.379840,1.182844,0.025829,1.156525,1.211188
seq00_static_250k.ply,250000,FEC,50,250000,5,133,258.612189,5.587258,253.279556,265.145882,22.355296,1.758820,20.953146,25.300794,48.167235,2.559759,45.953678,51.137932,178.236933,1.898577,176.176695,180.359800,7.608169,0.492003,7.201072,8.404336
seq00_static_250k.ply,250000,FEC1,50,250000,5,133,86.462503,0.591120,85.840156,87.250292,23.178611,0.914820,21.685204,24.028939,46.948478,0.859910,45.884419,48.135053,4.380018,0.198725,4.169556,4.699267,7.973236,0.534365,7.591446,8.866229
seq00_static_250k.ply,250000,FECunion,50,250000,5,133,78.548392,3.305241,76.035675,83.605679,24.486566,1.609912,23.258620,26.413854,45.498224,1.359885,44.456741,47.831435,2.503280,0.086440,2.427325,2.611651,1.330704,0.125943,1.211324,1.540444
seq00_static_300k.ply,300000,FEC,0,300000,5,145,389.837253,14.637801,376.674008,411.076398,30.632391,1.600493,28.484096,32.433063,75.814398,9.359889,68.746590,89.790520,270.320610,4.465637,265.267196,276.251631,10.208513,0.105900,10.087203,10.334014
seq00_static_300k.ply,300000,FEC1,0,300000,5,145,106.486231,0.742556,105.684088,107.569069,28.641536,0.627896,28.030947,29.586638,58.313857,0.750064,57.497002,59.296679,5.184717,0.136708,5.055003,5.408167,9.505070,0.080360,9.412180,9.599615
seq00_static_300k.ply,300000,FECunion,0,300000,5,145,94.719121,0.683160,94.081816,95.686701,28.959730,0.937824,28.065161,30.399519,55.849527,0.663127,54.974514,56.615641,2.967730,0.035644,2.913534,3.001157,1.497290,0.033964,1.459809,1.551959
seq00_static_300k.ply,300000,FEC,50,300000,5,145,357.704443,7.332841,349.311392,366.198036,27.622902,1.069710,26.766199,29.381381,64.992038,5.062555,59.667259,72.750858,252.649193,4.252141,249.668228,259.504361,9.698983,0.535609,9.130702,10.543272
seq00_static_300k.ply,300000,FEC1,50,300000,5,145,100.797273,2.345384,98.385350,104.492096,26.757937,0.912784,25.849690,28.137658,55.355507,1.213468,54.202825,57.028128,4.998835,0.096104,4.896085,5.151472,8.942684,0.348871,8.692381,9.522708
seq00_static_300k.ply,300000,FECunion,50,300000,5,145,94.738794,1.865256,92.804419,97.056216,28.656989,1.031784,27.884000,30.445341,55.798765,1.285323,54.620142,57.812184,2.996171,0.041900,2.924472,3.028538,1.574539,0.215948,1.453216,1.957620
seq00_static_350k.ply,350000,FEC,0,350000,5,156,474.826887,8.147821,467.362971,486.685889,34.903498,1.106565,33.226437,36.314254,78.753659,4.490316,75.214980,86.325359,345.707285,5.272632,339.692712,350.296246,12.066118,0.445760,11.675772,12.799685
seq00_static_350k.ply,350000,FEC1,0,350000,5,156,128.454933,3.990163,124.935138,133.760542,34.771642,1.550630,33.721561,37.479771,69.459278,2.091959,67.277137,72.563737,6.170764,0.331365,5.795706,6.563106,12.162280,0.852156,11.103894,13.267738
seq00_static_350k.ply,350000,FECunion,0,350000,5,156,105.272887,0.394722,104.826129,105.825326,32.166352,0.380837,31.776770,32.739565,61.468958,0.573454,60.811824,62.302432,3.317653,0.058125,3.243255,3.405770,1.689754,0.262254,1.564858,2.158725
seq00_static_350k.ply,350000,FEC,50,350000,5,156,450.890128,7.741056,441.448525,461.464163,32.582303,0.632886,32.034598,33.597312,71.637586,3.015754,68.540526,76.421986,332.562624,7.411720,322.060287,343.016310,10.918720,0.430425,10.435676,11.437085
seq00_static_350k.ply,350000,FEC1,50,350000,5,156,127.370536,5.323740,123.362441,136.707797,35.562416,2.580450,33.805155,40.063425,68.819797,2.217351,66.148039,72.031295,6.165430,0.332666,5.778596,6.697254,10.921298,0.264277,10.704907,11.347547
seq00_static_350k.ply,350000,FECunion,50,350000,5,156,114.415080,1.289169,112.322332,115.338477,35.249111,1.138554,34.109186,36.850769,66.642770,0.705902,65.912351,67.532609,3.606694,0.073133,3.553928,3.724213,1.763870,0.040419,1.700432,1.807060
seq00_static_400k.ply,400000,FEC,0,400000,5,171,599.371001,22.740506,574.038798,625.158438,42.250083,2.544501,39.736618,45.804525,88.219958,3.936658,82.380393,91.796298,450.670469,16.620971,434.031357,468.760041,14.274708,0.901215,13.114331,15.224929
seq00_static_400k.ply,400000,FEC1,0,400000,5,171,139.497495,1.810909,138.198788,142.367124,40.236812,1.269993,39.220059,42.442962,74.015832,0.587980,73.261462,74.881805,6.434217,0.025162,6.394808,6.457066,12.227052,0.316250,12.037789,12.772622
seq00_static_400k.ply,400000,FECunion,0,400000,5,171,126.587507,3.981653,123.492639,131.402175,39.183785,0.862741,38.270879,40.318721,73.253419,2.711747,70.658329,76.644022,3.893852,0.161126,3.690473,4.140181,1.880992,0.074877,1.814151,1.980649
seq00_static_400k.ply,400000,FEC,50,400000,5,171,626.054784,9.345171,614.419156,636.062291,41.146795,0.429844,40.443216,41.520954,89.862904,5.514516,84.602476,97.545089,476.486723,4.712598,469.663496,481.446486,14.423072,0.149010,14.273474,14.605045
seq00_static_400k.ply,400000,FEC1,50,400000,5,171,145.107777,1.653400,143.609783,147.402567,41.614584,1.233539,40.628610,43.446135,76.387314,0.628310,75.463838,77.009717,6.710901,0.127173,6.563375,6.875069,13.617182,0.630435,12.943025,14.367063
seq00_static_400k.ply,400000,FECunion,50,400000,5,171,122.805189,1.219688,121.309382,124.207337,39.229423,1.257287,37.806821,40.828994,69.904490,0.468735,69.380254,70.378357,3.798387,0.033424,3.742989,3.829743,1.842404,0.019390,1.813218,1.857963
seq00_static_450k.ply,450000,FEC,0,450000,5,180,724.122468,29.321540,692.467320,766.290720,47.122633,3.188370,43.929881,51.611241,102.842529,6.236538,92.999426,108.530345,553.590038,23.745120,535.970685,584.491156,15.892603,0.826933,14.964087,16.948444
seq00_static_450k.ply,450000,FEC1,0,450000,5,180,171.689483,1.858029,168.645763,173.490908,48.613206,1.274936,47.177739,50.617463,91.685874,1.367906,89.688470,93.441753,7.947097,0.104830,7.825655,8.054295,15.383356,0.800890,14.530346,16.297417
seq00_static_450k.ply,450000,FECunion,0,450000,5,180,153.494679,1.568905,151.626873,155.952151,48.870586,1.071422,47.386034,49.897050,87.636645,0.702143,86.971865,88.582030,4.632408,0.031409,4.591957,4.677439,2.268152,0.028937,2.247473,2.317907
seq00_static_450k.ply,450000,FEC,50,450000,5,180,733.734637,12.838451,720.965118,747.775883,48.809567,2.559031,44.754303,51.839176,100.818836,3.252456,97.339140,104.298738,563.750330,11.163427,552.002584,576.102464,15.569981,0.418972,14.946501,16.116445
seq00_static_450k.ply,450000,FEC1,50,450000,5,180,163.478387,0.940500,162.516919,164.714944,47.052471,1.095492,45.548231,48.532445,86.933355,0.697738,86.188492,87.690940,7.796910,0.089687,7.682751,7.885197,13.751422,0.404161,13.178597,14.245761
seq00_static_450k.ply,450000,FECunion,50,450000,5,180,144.009634,1.519231,142.544627,146.359741,46.222852,1.105264,45.148436,47.900508,81.813199,1.726470,80.600017,84.837047,4.413895,0.119758,4.340241,4.623979,2.144321,0.032247,2.112933,2.196724
seq00_static_500k.ply,500000,FEC,0,500000,5,181,874.728285,17.754388,862.355140,905.637602,53.717068,2.220522,52.137290,57.474091,118.917782,12.558530,109.950971,141.007807,679.708721,5.050483,672.692781,684.923119,17.404411,1.069238,16.075886,18.718647
seq00_static_500k.ply,500000,FEC1,0,500000,5,181,184.952793,2.991803,181.016995,187.971349,53.603108,0.615998,53.023329,54.291399,98.280312,2.256759,95.192916,101.078454,8.719859,0.377017,8.109885,9.085225,15.633350,0.547184,14.960101,16.225363
seq00_static_500k.ply,500000,FECunion,0,500000,5,181,162.226807,0.571017,161.526450,162.948666,52.562605,1.005189,51.169017,53.749961,91.825650,0.797544,90.692386,92.878808,4.880445,0.044500,4.824102,4.928686,2.355165,0.025088,2.314527,2.380198
seq00_static_500k.ply,500000,FEC,50,500000,5,181,892.617268,12.660346,877.402778,906.369737,52.791585,0.555966,52.028911,53.584377,111.681482,5.944523,106.509797,120.204243,706.411498,12.271922,687.564372,718.723957,16.728561,0.559865,16.249879,17.599264
seq00_static_500k.ply,500000,FEC1,50,500000,5,181,182.878747,3.075503,177.774641,185.863101,53.145741,1.362645,51.447958,54.774002,96.713784,2.035864,93.654354,98.511637,8.459263,0.207189,8.100591,8.618403,15.710772,0.474525,15.135507,16.238832
seq00_static_500k.ply,500000,FECunion,50,500000,5,181,162.416347,1.287876,160.607154,164.098534,52.857046,0.785442,51.838588,53.989835,91.736222,1.323299,90.687919,94.047966,4.928426,0.061593,4.843976,5.010255,2.380085,0.043913,2.316206,2.431460
seq00_static_550k.ply,550000,FEC,0,550000,5,200,1060.497161,10.589774,1049.587410,1076.470268,61.748786,4.212713,58.687440,68.428863,131.223809,4.193255,125.088959,135.233200,841.735404,9.239405,830.997546,851.437727,20.124071,0.876656,18.675338,20.846298
seq00_static_550k.ply,550000,FEC1,0,550000,5,200,205.167421,1.260482,203.628751,206.669521,61.250150,1.349093,59.759149,63.399104,106.844051,1.172945,105.920004,108.856800,9.164494,0.093398,9.030124,9.254526,18.687955,0.427678,18.263200,19.218285
